Prompt,Vendor Questions
Seeking guidance on finding a good hairstylist for a trendy haircut.,"How long have you been working as a hairstylist?,
 Do you have experience in creating trendy haircuts?,
 Can you provide examples or references of your previous work?,
 What is your process for understanding and interpreting a client's desired hairstyle?,
 Are you familiar with current hair trends and styles?"
Looking for a reliable and experienced HVAC technician for air conditioner maintenance.,"How many years of experience do you have as an HVAC technician?,
 Do you have any certifications or licenses related to HVAC maintenance?,
 Are you familiar with the specific make and model of the air conditioner that needs maintenance?,
 Can you provide references from previous clients who have used your services for air conditioner maintenance?,
 What is your approach to diagnosing and resolving common air conditioner issues?"
A certified tax consultant to assist with filing my annual taxes.,"How many years of experience do you have as a tax consultant?,
 Are you a certified tax consultant? If so, which certifications do you hold?,
 What is your fee structure for assisting with annual tax filing?,
 Do you have experience working with individuals in a similar financial situation?,
 Can you provide references from previous clients who were satisfied with your services?"
Looking for a certified financial advisor for investment and retirement planning.,"What certifications do you hold as a financial advisor?,
 Can you provide examples of successful investment and retirement planning strategies you have implemented?,
 How do you stay updated with the latest trends and changes in the financial industry?,
 What is your approach to understanding a client's financial goals and risk tolerance?,
 Do you have experience working with clients in a similar financial situation as the user?"
Interested in hiring a professional photographer for a family photoshoot.,"How many years of experience do you have as a photographer?,
 What is your preferred style of photography?,
 Can you provide a portfolio or samples of your previous family photoshoots?,
 Do you have any specific packages or pricing options for family photoshoots?,
 Are you available on the desired date and time for the photoshoot?"
Looking for a certified nutritionist to create a personalized diet plan for weight management.,"What certifications or qualifications do you have as a nutritionist?,
 Can you provide examples of personalized diet plans you have created for weight management?,
 How do you assess an individual's nutritional needs and goals?,
 What is your approach to creating a sustainable and balanced diet plan?,
 Do you offer ongoing support and monitoring to track progress and make adjustments to the diet plan?"
hiring a professional house painter for an upcoming home renovation project.,"How many years of experience do you have as a house painter?,
 Can you provide examples of your previous painting projects?,
 What type of paint and materials do you typically use?,
 Do you have any certifications or training in painting techniques?,
 Are you able to work within a specific timeline and complete the project on schedule?"
Looking for a trustworthy and experienced babysitter for occasional childcare.,"How many years of experience do you have as a babysitter?,
 Do you have any certifications or training related to childcare?,
 Are you comfortable with occasional childcare and flexible work hours?,
 Can you provide references from previous families you have worked with?,
 What activities or strategies do you use to engage and entertain children?"
asd wdew dqed,"Bad Prompt:I'm sorry, but I didn't understand your response. Could you please rephrase or provide more information?"
Interested in hiring a skilled makeup artist for a teenager's prom night.,"How long have you been working as a makeup artist?,
 Can you provide examples of your previous work or a portfolio?,
 What makeup styles do you specialize in?,
 Are you familiar with the latest trends and techniques in prom makeup?,
 Do you have experience working with teenagers and understanding their preferences?"
Seeking guidance on finding a reliable personal shopper for fashion advice.,"How long have you been working as a personal shopper?,
 What is your approach to understanding a client's personal style and fashion preferences?,
 Do you have experience working with clients of diverse body types and fashion needs?,
 Can you provide references or examples of previous clients you have worked with?,
 What is your fee structure for personal shopping services?"
Looking for a certified tech support service to assist with device issues for all ages.,"Do you have any certifications or qualifications in providing tech support?,
 What types of devices do you have experience in troubleshooting?,
 Are you familiar with assisting individuals of all ages, including seniors and children?,
 What is your average response time for resolving technical issues?,
 Can you provide references or testimonials from previous clients who have used your tech support services?"
Interested in hiring a professional cleaning service for a bachelor's apartment.,"How long have you been providing professional cleaning services?,
 What specific cleaning tasks are included in your service?,
 Do you have any experience cleaning bachelor's apartments?,
 Are you able to bring your own cleaning supplies and equipment?,
 Can you provide references from previous clients who have hired you for similar jobs?"
A skilled language tutor for a language-learning enthusiast.,"How many years of experience do you have as a language tutor?,
 What languages are you proficient in and able to teach?,
 Do you have any specific teaching methods or techniques that you use?,
 Are you comfortable with providing both in-person and online tutoring?,
 How do you assess the progress and proficiency of your students?"
Want a  a professional event planner for a milestone anniversary party.,"How many years of experience do you have as an event planner?,
 Can you provide examples of milestone anniversary parties you have planned in the past?,
 What services do you offer as an event planner? (e.g., venue selection, decor, catering, etc.), Are you familiar with the specific requirements and traditions associated with milestone anniversary parties?,
 How do you handle unexpected challenges or last-minute changes during an event?"
I want to transport my luggage from Pune to Colaba,"What is the estimated cost for transporting luggage from Pune to Colaba?,
 Do you provide insurance coverage for the transported luggage?,
 What is the expected delivery time for the luggage?,
 Do you have any restrictions on the size or weight of the luggage?,
 Can you provide references or testimonials from previous clients who have used your luggage transport services?"
I need help,Bad Prompt:Could you please rephrase or provide more information?
Need recommendations for a good local electrician to install new lighting fixtures in my home.,"How many years of experience do you have as an electrician?,
 Are you licensed and insured?,
 Can you provide references from previous clients?,
 What is your availability for the next few weeks?,
 Do you have experience specifically with installing lighting fixtures in residential homes?"
A reliable lawn care service to maintain my garden.,"How long has your lawn care service been in operation?,
 What specific services do you offer for garden maintenance?,
 Do you have any certifications or qualifications in lawn care?,
 Are you able to provide references or examples of previous garden maintenance projects?,
 How do you handle any potential issues or challenges that may arise during the garden maintenance process?"
